title,price,reference,description
Ecran ASUS ZenScreen LCD MB165B 15.6'' WXGA 60 Hz,"429,000 DT", [90LM0703-B01170],
Ecran Mobile LENOVO ThinkVision M15 15.6'' Full HD IPS 60Hz,"509,000 DT", [62CAUAT1WL],
PC Portable LENOVO IdeaPad 1 15IGL7 Intel Celeron N4020 4Go 256G SSD - Gris,"695,000 DT", [82V700D4FE],
PC Portable LENOVO V15 G2 IJL Intel Celeron N4500 8Go 256Go SSD - Noir,"719,000 DT", [82QY00PEFE],
PC Portable LENOVO V15 G4 AMN AMD Athlon 8Go 256Go SSD - Noir,"725,000 DT", [82YU0044FE],
PC Portable LENOVO V15 G4 AMN AMD Athlon 8G 256Go SSD - Noir,"729,000 DT", [BU-82YU0044FE],
PC Portable LENOVO IdeaPad 1 15AMN7 AMD Athlon 8Go 256Go SSD - Gris,"769,000 DT", [82VG00NYFG],
PC Portable LENOVO IdeaPad 1 15IGL7 Intel Celeron N4020 8G 256Go SSD - Bleu,"769,000 DT", [82V700EJFG],
PC Portable HP 15-fd0030nk Intel N100 4Go 256Go SSD - Gris,"769,000 DT", [886L5EA],
PC Portable LENOVO IdeaPad 1 15IGL7 Intel Celeron N4020 8Go 256Go SSD - Gris,"769,000 DT", [82V700EFFG],
PC Portable HP 15-fd0030nk Intel N100 4G 256Go SSD - Gris,"779,000 DT", [BU-886L5EA],
PC Portable LENOVO V15 G4 AMN AMD Athlon 8Go 256G SSD - Noir,"785,000 DT", [BU-82YU0044FE-W11P],
PC Portable HP 15-fd0038nk Intel N100 4Go 256Go SSD - Blanc,"789,000 DT", [9D6V7EA],
Ecran Mobile LENOVO ThinkVision M14 14'' FULL HD IPS 60Hz,"789,000 DT", [61DDUAT6EU],
PC Portable HP 15-fd0030nk Intel N100 8Go 256Go SSD - Gris,"789,000 DT", [886L5EA-8G],
PC Portable HP 15-fd0030nk Intel N100 8G 256Go SSD - Gris,"799,000 DT", [BU-886L5EA-8G],
PC Portable HP 15-fd0038nk Intel N100 8Go 256Go SSD - Blanc,"809,000 DT", [9D6V7EA-8G],
PC Portable HP 15-fd0030nk Intel N100 16G 256Go SSD - Gris,"839,000 DT", [BU-886L5EA-16G],
PC Portable HP 15-fd0038nk Intel N100 16Go 256Go SSD - Blanc,"849,000 DT", [9D6V7EA-16G],
Pc Portable HP 15-fc0021nk AMD RYZEN 3 4Go 256Go SSD - Silver,"869,000 DT", [886K1EA],
Pc Portable DELL Vostro 3520 i3 12è Gén 4Go 256Go SSD - Noir,"869,000 DT", [N4004PVNB3520],
Pc Portable DELL Vostro 3520 i3 12è Gén 4Go 256G SSD - Noir,"879,000 DT", [BU-N4004PVNB3520],
Pc Portable HP 15-fc0021nk AMD RYZEN 3 4G 256Go SSD - Silver,"879,000 DT", [BU-886K1EA],
PC Portable LENOVO IdeaPad 1 15AMN7 AMD RYZEN 3 8Go 256Go SSD - Gris,"879,000 DT", [82VG00DXFG],
Pc Portable DELL Vostro 3520 i3 12è Gén 8Go 256Go SSD - Noir,"885,000 DT", [N4004PVNB3520-8G],
,,,
,,,
