title,price,reference,description
ecran asus zenscreen lcd mb165b 15.6'' wxga 60 hz,429000.0, [90LM0703-B01170],
ecran mobile lenovo thinkvision m15 15.6'' full hd ips 60hz,509000.0, [62CAUAT1WL],
pc portable lenovo ideapad 1 15igl7 intel celeron n4020 4go 256g ssd - gris,695000.0, [82V700D4FE],
pc portable lenovo v15 g2 ijl intel celeron n4500 8go 256go ssd - noir,719000.0, [82QY00PEFE],
pc portable lenovo v15 g4 amn amd athlon 8go 256go ssd - noir,725000.0, [82YU0044FE],
pc portable lenovo v15 g4 amn amd athlon 8g 256go ssd - noir,729000.0, [BU-82YU0044FE],
pc portable lenovo ideapad 1 15amn7 amd athlon 8go 256go ssd - gris,769000.0, [82VG00NYFG],
pc portable lenovo ideapad 1 15igl7 intel celeron n4020 8g 256go ssd - bleu,769000.0, [82V700EJFG],
pc portable hp 15-fd0030nk intel n100 4go 256go ssd - gris,769000.0, [886L5EA],
pc portable lenovo ideapad 1 15igl7 intel celeron n4020 8go 256go ssd - gris,769000.0, [82V700EFFG],
pc portable hp 15-fd0030nk intel n100 4g 256go ssd - gris,779000.0, [BU-886L5EA],
pc portable lenovo v15 g4 amn amd athlon 8go 256g ssd - noir,785000.0, [BU-82YU0044FE-W11P],
pc portable hp 15-fd0038nk intel n100 4go 256go ssd - blanc,789000.0, [9D6V7EA],
ecran mobile lenovo thinkvision m14 14'' full hd ips 60hz,789000.0, [61DDUAT6EU],
pc portable hp 15-fd0030nk intel n100 8go 256go ssd - gris,789000.0, [886L5EA-8G],
pc portable hp 15-fd0030nk intel n100 8g 256go ssd - gris,799000.0, [BU-886L5EA-8G],
pc portable hp 15-fd0038nk intel n100 8go 256go ssd - blanc,809000.0, [9D6V7EA-8G],
pc portable hp 15-fd0030nk intel n100 16g 256go ssd - gris,839000.0, [BU-886L5EA-16G],
pc portable hp 15-fd0038nk intel n100 16go 256go ssd - blanc,849000.0, [9D6V7EA-16G],
pc portable hp 15-fc0021nk amd ryzen 3 4go 256go ssd - silver,869000.0, [886K1EA],
pc portable dell vostro 3520 i3 12è gén 4go 256go ssd - noir,869000.0, [N4004PVNB3520],
pc portable dell vostro 3520 i3 12è gén 4go 256g ssd - noir,879000.0, [BU-N4004PVNB3520],
pc portable hp 15-fc0021nk amd ryzen 3 4g 256go ssd - silver,879000.0, [BU-886K1EA],
pc portable lenovo ideapad 1 15amn7 amd ryzen 3 8go 256go ssd - gris,879000.0, [82VG00DXFG],
pc portable dell vostro 3520 i3 12è gén 8go 256go ssd - noir,885000.0, [N4004PVNB3520-8G],
unknown,0.0,N/A,
pc portable dell vostro 3520 i3 12è gén 8go 256g ssd - noir,895000.0, [BU-N4004PVNB3520-8G],
pc portable lenovo ideapad 3 15iau7 i3 12è gén 4go 256go ssd - gris,899000.0, [82RK014XFG],
pc portable lenovo ideapad 1 15amn7 amd ryzen 3 8go 256go ssd - gris,899000.0, [82VG00MHFG],
pc portable lenovo ideapad slim 3 15amn8 amd ryzen 3 8go 256go ssd - gris,899000.0, [82XQ00DMFG],
pc portable dell vostro 3520 i3 12ème gén 4go 256go ssd - noir,919000.0, [VOSTRO-3520-I3-256SSD],
