title,price,reference,image_url
pc portable lenovo ideapad 1 15igl7 / n4020 / 8 go / 256 go ssd / gris,699000.0,[82V700KFFE],
pc portable dell / n4000 / 4 go / 500 / gris,699000.0,[EL-DELL-210],
pc portable lenovo ideapad 1 15igl7 / n4020 / 8 go / 256 go ssd / gris avec sacoche offerte,709000.0,[82V700KFFE-SAC],
pc portable lenovo v15 g2 ijl / n4500 / 8 go / 256 go ssd / noir,719000.0,[82QY00PEFE],
pc portable lenovo ideapad 1 15igl7 / n4020 / 8 go / 256 go ssd / bleu,719000.0,[82V700JUFG-2Y],
pc portable asus vivobook 15 x515ka / celeron n4500 / 4 go / 256 go ssd / silver,719000.0,[X515KA-EJ008],
pc portable lenovo ideapad 1 15igl7 / n4020 / 8 go / 256 go ssd / gris,719000.0,[82V700JVFG-2Y],
pc portable lenovo v15 g4 amn / amd dual core / 8 go,725000.0,[82YU0044FE],
pc portable lenovo v15 g4 amn / amd dual core / 8 go avec sacoche offert,729000.0,[82YU0044FESAC],
pc portable lenovo v15 g2 ijl / n4500 / 8 go / 256 go ssd / noir avec sacoche offerte,729000.0,[82QY00PEFE-SAC],
pc portable lenovo ideapad 1 15igl7 / n4020 / 8 go / 256 go ssd / bleu avec sacoche offerte,729000.0,[82V700JUFG-2Y-SAC],
pc portable asus vivobook 15 x515ka / celeron n4500 / 4 go / 256 go ssd / silver avec sacoche offerte,729000.0,[X515KA-EJ008-SAC],
pc portable asus vivobook 15 x515ka / celeron n4500 / 8 go / 256 go ssd / silver,739000.0,[X515KA-EJ008-8],
pc portable asus vivobook 15 x515ka / celeron n4500 / 8 go / 256 go ssd / silver avec sacoche offerte,749000.0,[X515KA-EJ008-8-SAC],
pc portable hp 15-fd0297nk / n100 / 8 go / 256 go ssd / noir,759000.0,[AB1T8EA],
pc portable asus vivobook 15 x515ka / celeron n4500 / 8 go / 256 go ssd / windows 11 pro / silver,759000.0,[X515KA-EJ008-8-W11P],
pc portable lenovo ideapad 1 15igl7 / n4020 / 8 go / 256 go ssd / windows 11 pro / gris,759000.0,[82V700KFFE-W11P],
pc portable lenovo ideapad 1 15amn7 / athlon silver 7120u / 8 go / 256 go ssd / gris avec sacoche lenovo offerte,765000.0,[82VG00Q2FG-2Y],
pc portable lenovo ideapad 1 15igl7 / intel celeron n4020 / 8 go / 256 go ssd / bleu / windows 11 + sacoche lenovo t210 offerte,769000.0,[82V700EJFG-2Y],
pc portable lenovo ideapad 1 15igl7 / intel celeron n4020 / 8 go / 256 go ssd / gris / windows 11 + sacoche lenovo t210 offerte,769000.0,[82V700EFFG-2Y],
pc portable lenovo v15 g2 ijl / n4500 / 16 go / 256 go ssd / noir,775000.0,[82QY00PEFE-16],
