title,price
Pc Portable Schneider SCL141CTP / Quad Core / 2 Go,"319,000 DT"
PC PORTABLE SCHNEIDER SCL142ALM /  4GO /  32GO,"429,000 DT"
Pc Portable Lenovo V15 G4 AMN / AMD Dual Core / 8 Go,"725,000 DT"
Pc Portable Lenovo V15 G4 AMN / AMD Dual Core / 8 Go Avec SACOCHE Offert,"729,000 DT"
Pc Portable HP 15-FD0028NK / 4 Go / Gold / Windows 11,"769,000 DT"
Pc Portable HP 15-fd0030nk / 4 Go / Windows 11 / Gris,"769,000 DT"
Pc Portable HP 15-fd0029nk / Intel N100 / 4 Go / Windows 11 / Bleu,"769,000 DT"
Pc Portable Thomson N14I310 / i3-10110U / 8 Go / 256 Go SSD / Windows 11,"769,000 DT"
PC PORTABLE LENOVO IP1 / ATHLON SILVER 7120U / 8G 256SSD /  GREY /  Windows 11 AVEC SACOCHE OFFERT,"775,000 DT"
Pc Portable HP 15-fd0030nk / 4 Go / Windows 11 / Gris AVEC SACOCHE OFFERTE,"779,000 DT"
Pc Portable HP 15-FD0028NK / 4 Go / Gold / Windows 11 AVEC SACOCHE OFFERTE,"779,000 DT"
Pc Portable HP 15-fd0029nk / Intel N100 / 4 Go / Windows 11 / Bleu AVEC SACOCHE OFFERTE,"779,000 DT"
PC Portable Lenovo IdeaPad 1 15IGL7 / Intel Celeron N4020 / 8 Go / 256 Go SSD / Bleu / Windows 11 + Sacoche Lenovo T210 Offerte,"785,000 DT"
PC Portable Lenovo IdeaPad 1 15IGL7 / Intel Celeron N4020 / 8 Go / 256 Go SSD / Gris / Windows 11 + Sacoche Lenovo T210 Offerte,"785,000 DT"
Pc Portable Lenovo V15 G4 AMN / AMD Dual Core / 8 Go / WINDOWS 11 PRO,"785,000 DT"
Pc Portable HP 15-fd0029nk / Intel N100 / 8 Go / Windows 11 / Bleu,"789,000 DT"
Pc Portable HP 15-fd0030nk / 8 Go / Windows 11 / Gris,"789,000 DT"
PC PORTABLE HP 15-FD0038NK / INTEL N100 / 4 GO / WINDOWS 11,"789,000 DT"
Pc Portable HP 15-FD0028NK / 8 Go / Gold / Windows 11,"789,000 DT"
Pc Portable HP 15-fd0029nk / Intel N100 / 8 Go / Windows 11 / Bleu AVEC SACOCHE OFFERTE,"799,000 DT"
